ZONE_N,ZONE_C,SUBZONE_N,SUB_ZONE_C,AGE0-4,AGE5-9,AGE10-14,AGE15-19,AGE20-24,AGE25-29,AGE30-34,AGE35-39,AGE40-44,AGE45-49,AGE50-54,AGE55-59,AGE60-64,AGE65-69,AGE70-74,AGE75-79,AGE80-84,AGE85
KALLANG,KL,LAVENDER,KLSZ06,370,450,470,440,500,660,620,710,830,810,790,800,730,680,400,360,200,170
KALLANG,KL,TANJONG RHU,KLSZ05,520,640,640,610,520,500,620,940,1240,1120,920,740,690,510,340,250,140,130
LIM CHU KANG,LK,LIM CHU KANG,LKSZ01,0,10,10,10,10,0,10,0,10,10,10,10,10,10,10,0,0,0
MANDAI,MD,MANDAI EAST,MDSZ02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MANDAI,MD,MANDAI ESTATE,MDSZ03,90,110,150,160,160,150,130,150,180,180,170,150,110,80,60,40,20,20
MANDAI,MD,MANDAI WEST,MDSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINA EAST,ME,MARINA EAST,MESZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINA SOUTH,MS,MARINA SOUTH,MSSZ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINE PARADE,MP,EAST COAST,MPSZ04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINE PARADE,MP,KATONG,MPSZ02,420,500,500,500,540,560,550,770,920,820,690,680,560,500,320,250,180,180
MARINE PARADE,MP,MARINA EAST (MP),MPSZ05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARINE PARADE,MP,MARINE PARADE,MPSZ03,1210,1500,1450,1400,1430,1470,1400,2030,2430,2310,2070,1960,1780,1650,1280,1270,780,680
MARINE PARADE,MP,MOUNTBATTEN,MPSZ01,500,560,580,610,610,650,600,800,890,910,790,730,640,590,370,210,180,170
